FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.9593333333333334,0.654412936932769,0.880463896235134,0.0968959067011547,0.3184009602774301,0.3430353978116182
PrototypicalNetworksNovelty,5,2,6,0.97,0.6698948761794122,0.8895598245680373,0.09385685801756533,0.3286448465427384,0.3532112175050043
PrototypicalNetworksNovelty,5,3,6,0.98,0.6864320694619519,0.8979584129508431,0.08958918145123211,0.33460292190258556,0.35623382534429315
PrototypicalNetworksNovelty,5,4,6,0.9853333333333333,0.6972398540332726,0.9031666145723432,0.08644731360816192,0.32924891108546783,0.36544645925953073
PrototypicalNetworksNovelty,5,5,6,0.9833333333333333,0.7048959288362311,0.9071252237451978,0.08438304505699912,0.32430557670056454,0.3739313512995488
PrototypicalNetworksNovelty,5,6,6,0.9853333333333333,0.7101721671687199,0.9096090058564733,0.0833483011128327,0.3360021510229605,0.3723247968232231
PrototypicalNetworksNovelty,5,7,6,0.982,0.7149151234757283,0.9116419748772105,0.08223692872861621,0.3428144495757618,0.3743038956650089
PrototypicalNetworksNovelty,5,8,6,0.9853333333333333,0.7180516411778185,0.9130655994193834,0.08137509699668727,0.34369101043218586,0.3750753034651504
PrototypicalNetworksNovelty,5,9,6,0.9913333333333333,0.7203072058879909,0.9143207264957285,0.08080585657074085,0.34247394488140775,0.37654383828120486
