FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.6853333333333333,0.6626325430899636,0.7586327883983864,0.05189342788309007,0.6651836885991743,0.06349854986907942
PrototypicalNetworksNovelty,5,2,6,0.808,0.6835996174616352,0.7809912070099797,0.05240993024115556,0.685884866785062,0.06616686438462645
PrototypicalNetworksNovelty,5,3,6,0.832,0.6958564464691975,0.7938041960427521,0.05246479524363782,0.6993034042565248,0.06831458614084542
PrototypicalNetworksNovelty,5,4,6,0.894,0.7052126741072249,0.8037906773195526,0.05276589805224555,0.7050896130750365,0.06921451875022204
PrototypicalNetworksNovelty,5,5,6,0.8786666666666667,0.7130727313460853,0.8105459143247802,0.051973964222332504,0.7121625425237598,0.0700290858172163
PrototypicalNetworksNovelty,5,6,6,0.904,0.7190118148137081,0.8158820930535231,0.051550289931194336,0.716014257744303,0.07031863401605434
PrototypicalNetworksNovelty,5,7,6,0.8986666666666666,0.7239719281095548,0.8197258718268856,0.050850636773820374,0.7192619557124763,0.07020131009326458
PrototypicalNetworksNovelty,5,8,6,0.92,0.7281630549298045,0.8231279274466776,0.050332983836376397,0.7217234015094149,0.07018434808632777
PrototypicalNetworksNovelty,5,9,6,0.932,0.7313781829203878,0.8254038022025575,0.04970120327426041,0.7242230422193516,0.07051544686203988
