FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.8033333333333333,0.7069376216406228,0.8044214677019238,0.05206415724673869,0.695367236238415,0.06734917544217187
PrototypicalNetworksNovelty,5,2,6,0.9133333333333333,0.7244472443605873,0.8219393509915731,0.05122383455232083,0.7065604641016792,0.0721095393477263
PrototypicalNetworksNovelty,5,3,6,0.9513333333333334,0.7354705729004524,0.8339769318886008,0.051567997392652415,0.7131411983545526,0.0720115305746135
PrototypicalNetworksNovelty,5,4,6,0.9546666666666667,0.743086561326934,0.8411164176312711,0.05111781710417484,0.7180541509031828,0.07156176540597742
PrototypicalNetworksNovelty,5,5,6,0.952,0.7495232144335582,0.8469946421476537,0.05064234636719554,0.7237609356548346,0.07255198697732947
