FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.7946666666666666,0.6401969321493824,0.7497265151883131,0.060876492156635396,0.6280478395037837,0.05946488197616345
PrototypicalNetworksNovelty,5,2,6,0.9066666666666666,0.6616861558378084,0.7721775516073532,0.060089879805101616,0.6421942385179656,0.06450363495572563
PrototypicalNetworksNovelty,5,3,6,0.9326666666666666,0.6748441462564151,0.7875358635973128,0.0607907729473821,0.6516164434629277,0.06701060800501099
PrototypicalNetworksNovelty,5,4,6,0.938,0.6847982215843053,0.7967892877643524,0.05976160075587066,0.6586872963704795,0.06957286508028904
PrototypicalNetworksNovelty,5,5,6,0.9493333333333334,0.6926522465540634,0.8039215687575575,0.05894194654782883,0.6649847542758107,0.07169905377743237
