FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.578,0.6757032049107142,0.8269948664421028,0.07815031486908493,0.6626029157808042,0.13130678298500872
PrototypicalNetworksNovelty,5,2,6,0.6533333333333333,0.6969832610306843,0.8422089662497665,0.07462023007698769,0.6835251982999903,0.13039499119095854
PrototypicalNetworksNovelty,5,3,6,0.6966666666666667,0.7112629963133169,0.8510673657616145,0.07139142988245463,0.6931742824836453,0.12963059614867056
PrototypicalNetworksNovelty,5,4,6,0.7333333333333333,0.7224283907594932,0.8573419936971818,0.06857280878939184,0.701177432981739,0.12803896069698895
PrototypicalNetworksNovelty,5,5,6,0.7486666666666667,0.7303035128963022,0.862180641284786,0.0667901771244352,0.7062984422067926,0.12719320427961525
PrototypicalNetworksNovelty,5,6,6,0.77,0.7369261728798321,0.8658715492610536,0.06509835166168045,0.7108327312085218,0.12618423718323832
PrototypicalNetworksNovelty,5,7,6,0.7506666666666667,0.741617331865293,0.8680619294898713,0.06370279259568934,0.7153929160408599,0.12539942862493492
PrototypicalNetworksNovelty,5,8,6,0.746,0.7456725548988015,0.8703272339671903,0.06275639485035765,0.7198844132720996,0.12431855114749993
PrototypicalNetworksNovelty,5,9,6,0.772,0.7498032082471595,0.8724739261932042,0.06162369230386615,0.722695602623389,0.12355570939353304
