ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_9_1124_204303_AdvLoss.pth,Prototypical,20,5,10,0.96597,0.8382263360809592,0.9465035237678515,0.032272689938629515,0.5695408492762483,0.1375575368409079,0.37696267449160326
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_0_1123_220524_AdvLoss.pth,Prototypical,20,5,10,0.96486,0.8332725426650115,0.9478488297849968,0.03510382772821671,0.5769916688492442,0.14182153726348645,0.3708571609357526
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.9797,0.8364086489406015,0.9358450839047872,0.029402799416948386,0.6654883744601939,0.08121008023927816,0.2703567094445932
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,20,5,10,0.9681,0.8348908956886397,0.9479641491981864,0.0344815176620851,0.5720426641682458,0.14398148303782052,0.3759214850299406
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,20,5,10,0.96391,0.8295335841675101,0.9462282356746321,0.035210490688340534,0.5593521579591204,0.14250890229349394,0.3868760777155117
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_3_1124_052941_AdvLoss.pth,Prototypical,20,5,10,0.96574,0.8376656291804713,0.9496243560113221,0.03449858669546051,0.5845864554760775,0.14336745090154854,0.36503790053524465
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,20,5,10,0.96328,0.8399336013690148,0.9494015099204623,0.03314959645157535,0.57985799880374,0.13948783186838976,0.36954351111672235
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_5_1124_103558_AdvLoss.pth,Prototypical,20,5,10,0.96787,0.8295643787261917,0.9463316020745404,0.03516633645853461,0.5615370901813819,0.1402890141053785,0.3847945118931585
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,20,5,10,0.9621,0.8271621368783989,0.9456327643015072,0.03571792644778717,0.5565007171590218,0.14207493543412442,0.3891320471424854
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_6_1124_130928_AdvLoss.pth,Prototypical,20,5,10,0.96453,0.8375433705982883,0.9491823195580587,0.03398747506672817,0.5714545390173675,0.14552068313262392,0.3777277805406911
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_4_1124_080046_AdvLoss.pth,Prototypical,20,5,10,0.96849,0.830273074642734,0.9468804360861391,0.03527281961064289,0.5658432661789495,0.1401995327777742,0.3810371699071896
