ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
./modelsAdv/Resnet12_Omniglot_episodic_0_AdvLoss.pth,PrototypicalNetworksNovelty,5,5,6,0.982,0.840535980560489,0.9457511894167158,0.03713759729999787,0.6049200553555757,0.12416892964833907
./modelsAdv/Resnet12_Omniglot_episodic_1_AdvLoss.pth,PrototypicalNetworksNovelty,5,5,6,0.9833333333333333,0.8533980753319026,0.9496384065838184,0.03420373178943972,0.6311490200586238,0.11973674289625412
./modelsAdv/Resnet12_Omniglot_episodic_2_AdvLoss.pth,PrototypicalNetworksNovelty,5,5,6,0.9853333333333333,0.8431976744230518,0.9470310843119925,0.0365639219728281,0.6062703370564039,0.12452610350679773
./modelsAdv/Resnet12_Omniglot_episodic_3_AdvLoss.pth,PrototypicalNetworksNovelty,5,5,6,0.9833333333333333,0.8430851628437029,0.946400661953425,0.03615910458700258,0.6064805744108507,0.12260932528229057
./modelsAdv/Resnet12_Omniglot_episodic_4_AdvLoss.pth,PrototypicalNetworksNovelty,5,5,6,0.9846666666666667,0.8348010762596069,0.9431194353523332,0.03750074135552656,0.5945749576219289,0.1208042985641996
./modelsAdv/Resnet12_Omniglot_episodic_0_AdvLoss.pth,PrototypicalNetworksNovelty,5,1,6,0.9593333333333334,0.7873019562013063,0.9180462587368496,0.050241495755006735,0.5776119891520463,0.12997783170688643
./modelsAdv/Resnet12_Omniglot_episodic_1_AdvLoss.pth,PrototypicalNetworksNovelty,5,1,6,0.9666666666666667,0.801114288079283,0.9226699753876391,0.047062341656949974,0.6073005704658813,0.12273094285548335
./modelsAdv/Resnet12_Omniglot_episodic_2_AdvLoss.pth,PrototypicalNetworksNovelty,5,1,6,0.9673333333333334,0.7886050374875003,0.9182938367724008,0.050218672203161306,0.5848556683006614,0.1286063167727913
./modelsAdv/Resnet12_Omniglot_episodic_3_AdvLoss.pth,PrototypicalNetworksNovelty,5,1,6,0.9646666666666667,0.7928856960964553,0.9182671914449954,0.047521859340524206,0.585833364496498,0.12413539856000763
./modelsAdv/Resnet12_Omniglot_episodic_4_AdvLoss.pth,PrototypicalNetworksNovelty,5,1,6,0.9686666666666667,0.7832989190620026,0.9131007252359751,0.04949057112286655,0.5711528980298158,0.12907515106237918
