FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.7913333333333333,0.6453695484915113,0.7537067942792062,0.05985736745506978,0.6358839199565851,0.061894032596796426
PrototypicalNetworksNovelty,5,2,6,0.912,0.6662179502787463,0.7751031908853646,0.05890269497691707,0.6491247196545762,0.06734025540264822
PrototypicalNetworksNovelty,5,3,6,0.94,0.6787073402351378,0.789906959898986,0.05978746035074759,0.657312514202617,0.06908166142087939
PrototypicalNetworksNovelty,5,4,6,0.956,0.6878315602682232,0.7992052255151094,0.059455421650869936,0.6630191751803812,0.07011238291343727
PrototypicalNetworksNovelty,5,5,6,0.954,0.6957648100691546,0.8060988702065425,0.05839364963301641,0.6691229230699255,0.07248705822955359
