FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.5333333333333333,0.7248910095654687,0.857238402441144,0.06700401271543047,0.6989328026941845,0.12719275708299327
PrototypicalNetworksNovelty,5,2,6,0.6006666666666667,0.7426956161315895,0.8703295705530099,0.06438824864937258,0.7167409869044262,0.12554334496193842
PrototypicalNetworksNovelty,5,3,6,0.6753333333333333,0.7528147476222509,0.8757923883643323,0.061718709730078605,0.7256478280963716,0.12478205497838958
PrototypicalNetworksNovelty,5,4,6,0.696,0.7615971903513711,0.8805894835189405,0.05939594490941664,0.7313975842588188,0.12389617129541187
PrototypicalNetworksNovelty,5,5,6,0.714,0.7685048516159775,0.8846117244371101,0.057744163135159704,0.7365636463983815,0.12306941350067296
PrototypicalNetworksNovelty,5,6,6,0.7326666666666667,0.7732320614981182,0.8875313186050265,0.05672169005757393,0.7402336845659495,0.12238412697449251
PrototypicalNetworksNovelty,5,7,6,0.7093333333333334,0.7775251342797284,0.8894564630186667,0.05538634436121147,0.7439644796648482,0.12198242225182074
PrototypicalNetworksNovelty,5,8,6,0.7033333333333334,0.7811391833814926,0.8912119735942,0.05441425942222328,0.7480265334154304,0.1208663386339085
PrototypicalNetworksNovelty,5,9,6,0.728,0.7840596021995834,0.8928852722999342,0.053712853888202544,0.7502548259815145,0.12040850262241665
