FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.7986666666666666,0.6898759123378276,0.7847278593279086,0.05191205608442783,0.6808761108790012,0.05707383954936515
PrototypicalNetworksNovelty,5,2,6,0.9073333333333333,0.7092868872728955,0.8045429726651331,0.051094924689325597,0.6933460400218056,0.061798061004347184
PrototypicalNetworksNovelty,5,3,6,0.9426666666666667,0.7210458324706458,0.8178308351256521,0.05163179892560546,0.7009359196874629,0.06253183316165943
PrototypicalNetworksNovelty,5,4,6,0.952,0.7294725809233933,0.8259036825489411,0.051054506217963196,0.7056895237136166,0.06263785125503837
PrototypicalNetworksNovelty,5,5,6,0.9513333333333334,0.7363953411457829,0.8322305744879415,0.05047105192271243,0.7116849837736005,0.06400638038836064
