FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.698,0.6101439366850695,0.7137501690654153,0.056154119667799686,0.6097303962733835,0.06758157746825025
PrototypicalNetworksNovelty,5,2,6,0.8393333333333334,0.6341001361036872,0.7395139993374387,0.05672977561804267,0.6299559929958338,0.07144112111437505
PrototypicalNetworksNovelty,5,3,6,0.844,0.6488486651380251,0.754009711198417,0.05622321782130544,0.6443528298288583,0.07408725532970259
PrototypicalNetworksNovelty,5,4,6,0.9013333333333333,0.6593125265203825,0.765304797904749,0.05650352087558597,0.6503405503790175,0.07518948047047166
PrototypicalNetworksNovelty,5,5,6,0.896,0.668263770190571,0.7730935968520464,0.05560439086244122,0.6572775530882857,0.07616164816382785
PrototypicalNetworksNovelty,5,6,6,0.9073333333333333,0.6747800384615898,0.7794169095978541,0.055335191043732294,0.6622165470250239,0.07698795747016975
PrototypicalNetworksNovelty,5,7,6,0.912,0.6802099112151586,0.7836969892448937,0.0545443582134962,0.6658666036681025,0.07711475195028426
PrototypicalNetworksNovelty,5,8,6,0.9266666666666666,0.6850313036971192,0.7878780282586971,0.054057979654526515,0.6686580527848659,0.07714965113771045
PrototypicalNetworksNovelty,5,9,6,0.93,0.6889759363008243,0.7906078280404557,0.05324490991606002,0.6717677206564283,0.07748457860399659
