FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.6786666666666666,0.6069473556330403,0.709734444533912,0.056016384035238044,0.6093333651292373,0.06487392205793474
PrototypicalNetworksNovelty,5,2,6,0.8146666666666667,0.6310414294253732,0.7358540716714093,0.056712588428588985,0.6311322705055538,0.06904300829106456
PrototypicalNetworksNovelty,5,3,6,0.838,0.6460136402317063,0.7504361379920397,0.056110134454088315,0.6450888003392566,0.0716431087983103
PrototypicalNetworksNovelty,5,4,6,0.8853333333333333,0.6567081556817237,0.7619135580655825,0.05641237531436655,0.6515515177909365,0.07273100286040401
PrototypicalNetworksNovelty,5,5,6,0.882,0.6657438977884385,0.7697213275155699,0.05546919869753623,0.6586583314827208,0.07381156121038886
