FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.8,0.6587210695124631,0.7723147791375716,0.0621655545383786,0.6536174952983856,0.06972155990501049
PrototypicalNetworksNovelty,5,2,6,0.9186666666666666,0.6798020346304038,0.7935316737790363,0.06135388718686018,0.6653882517068872,0.07335034571500035
PrototypicalNetworksNovelty,5,3,6,0.9406666666666667,0.6935040483520842,0.807830384222001,0.06114379755609944,0.6728258817863091,0.07473324332160176
PrototypicalNetworksNovelty,5,4,6,0.9453333333333334,0.703002481055151,0.8162901858613653,0.059863366823141945,0.6780245891308905,0.0775350160590331
PrototypicalNetworksNovelty,5,5,6,0.9493333333333334,0.7106525338979351,0.8228944685348846,0.05891617048826203,0.6843435039969303,0.07964471556530726
