FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier
PrototypicalNetworksNovelty,5,1,6,0.5006666666666667,0.7787724164543427,0.8913757686767375,0.05676712407119517,0.7604367572093041,0.11312405295824861
PrototypicalNetworksNovelty,5,2,6,0.5613333333333334,0.7932557143236592,0.8994799956389365,0.05327736867866288,0.7768911994215267,0.11106950870205373
PrototypicalNetworksNovelty,5,3,6,0.6393333333333333,0.8020258518161653,0.9047581269449575,0.0514259006168001,0.785958375143809,0.1088744397808655
PrototypicalNetworksNovelty,5,4,6,0.6626666666666666,0.808397563909593,0.9084434046862291,0.04996814768991767,0.7916842792781271,0.10745724473530036
PrototypicalNetworksNovelty,5,5,6,0.6626666666666666,0.8142273946993293,0.9117591925654642,0.048561857032347056,0.796300723435911,0.10663196205786753
PrototypicalNetworksNovelty,5,6,6,0.676,0.818010541636336,0.913879712987899,0.04771110449508809,0.8009162601262971,0.10537574340128249
PrototypicalNetworksNovelty,5,7,6,0.6546666666666666,0.8210675996780235,0.9151449801908712,0.046780091073381824,0.8047079754059178,0.10419628599227826
PrototypicalNetworksNovelty,5,8,6,0.686,0.8234731994967107,0.9162650061851295,0.04614222306252348,0.8080353483312428,0.1029743592149618
PrototypicalNetworksNovelty,5,9,6,0.712,0.8261551767786731,0.9175696251332436,0.045390840130483855,0.8098832735430908,0.10221174394458529
