Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet12,Prototypical,5,1,6,0.957,bayes,0.654412936932769
resnet12,Finetune,5,1,6,0.944,bayes,0.654412936932769
resnet12,BD-CSPN,5,1,6,0.9786666666666667,bayes,0.654412936932769
resnet12,TIM,5,1,6,0.944,bayes,0.654412936932769
resnet12,Prototypical,5,5,6,0.9833333333333333,bayes,0.7048959288362311
resnet12,Finetune,5,5,6,0.9836666666666667,bayes,0.7048959288362311
resnet12,BD-CSPN,5,5,6,0.984,bayes,0.7048959288362311
resnet12,TIM,5,5,6,0.9828333333333333,bayes,0.7048959288362311
