ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween,Seed
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,0.99292,0.841049536987515,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485,0
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,0.99288,0.8404665380639822,0.9344967030809405,0.03147906844650608,0.6666375774124476,0.07953372652172258,0.2678591256684929,2
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,0.99264,0.8412980515741506,0.9347550544664408,0.031111401171169457,0.6637042390136378,0.08061908083609576,0.27105081545280296,3
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,0.99284,0.8413956252540528,0.9347870122665489,0.03157959952417462,0.6670020379161793,0.08149888170532708,0.26778497435036963,5
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,0.993,0.8403486846685991,0.9343515055297245,0.03159295997132098,0.6654349826394851,0.08071276966940354,0.2689165228902394,7
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,0.9878,0.8383897895817174,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945,0
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,0.988,0.8391294080451266,0.9354424079914807,0.030228279035244568,0.6657025734373727,0.0812314511657352,0.269739834554108,2
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,0.98796,0.8389236346447653,0.935363668286128,0.030224909302402004,0.6653199388211889,0.08103595702325178,0.27004372946493915,3
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,0.98786,0.8383807952097053,0.9350980488655888,0.030328747065678528,0.6652678525025458,0.0808575118756796,0.26983019636304295,5
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,0.98792,0.8382548567605682,0.9351285052090504,0.030373028334101538,0.6652340417064042,0.0807632802684013,0.26989446350264623,7
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.9792,0.8365035438930915,0.9358059344381046,0.02928386411861217,0.6649162447308121,0.08097224102035204,0.27088968970729244,0
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.97909,0.8366041096303931,0.9359140813695853,0.02934301886998942,0.6650697077960197,0.08137943514992835,0.2708443735735656,2
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.98008,0.836477427655868,0.935619052198797,0.029291110320649204,0.6657483105561662,0.080949880666419,0.2698707416426308,3
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.97924,0.8368935217538203,0.935921501961902,0.029175961630528543,0.6649817483097583,0.08096632075048457,0.27093975365214373,5
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,20,5,10,0.97965,0.835591209142973,0.9355283231439047,0.029471985663260175,0.664248658498257,0.08078497658850219,0.2712796646456477,7
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,30,5,10,0.9716133333333333,0.8360353836256793,0.9362901661563084,0.02862323622650676,0.6653249228024979,0.08116871322297183,0.27096524335381056,0
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,30,5,10,0.9724533333333333,0.8356163626727758,0.936338574080784,0.028741679637815903,0.6648518843255853,0.08102290521358899,0.27148668975519874,2
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,30,5,10,0.97196,0.8353863834179857,0.9361361030834205,0.02873453844901266,0.6647206005044817,0.08084141278662334,0.27141550257893887,3
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,30,5,10,0.9723733333333333,0.8359860450988056,0.9363931566440044,0.028668770769739907,0.6652405522208453,0.08118914474113356,0.271152604423159,5
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,30,5,10,0.9721733333333333,0.8353255878872495,0.9361817834995726,0.028767791048644263,0.6645867921942995,0.08089375269968435,0.2715949913052731,7
