ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Novel,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,1,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,2,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,3,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,4,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,5,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,6,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,7,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,8,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,9,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,10,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,12,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,13,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,14,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,15,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,16,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,17,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,18,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,19,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,20,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,21,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,22,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,23,0.99292,0.8548413796078229,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
