ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,2,5,10,0.9959,0.8325773791786496,0.9427334539908723,0.04378819449117268,0.5503362950050923,0.14597987188736536,0.39239715898578
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,3,5,10,0.993,0.8353354069996902,0.9432786170429494,0.040744125555619036,0.5612596686142889,0.14549004451643693,0.38201894842866047
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,4,5,10,0.99095,0.833787378205814,0.9436285344498376,0.03931994898094282,0.5593026336632421,0.14176746751452018,0.38432590078659556
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,5,5,10,0.98908,0.8324079299716056,0.9442029187830382,0.03912252906358935,0.5597023642312147,0.1426852590814306,0.3845005545518235
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,6,5,10,0.9873,0.830316540573495,0.9439842736677974,0.03883379902075702,0.5568353643273554,0.14248340091524564,0.387148909340442
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,7,5,10,0.9851714285714286,0.8306143526355483,0.9443261413112883,0.03828853114029381,0.5596504070985978,0.14253701913820838,0.3846757342126905
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,8,5,10,0.982225,0.8316299546458938,0.9452181507960429,0.03758622526209215,0.560051043020735,0.1422916735035023,0.3851671077753078
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,9,5,10,0.9804222222222222,0.8306174436785052,0.9447911226019071,0.037498919476714965,0.5612637079160734,0.14324909486774257,0.38352741468583373
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,10,5,10,0.97874,0.8291624357412379,0.9447698253552608,0.037574162258112796,0.5604581298535426,0.1431408979537485,0.3843116955017182
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,12,5,10,0.9748666666666667,0.8313959150271613,0.945565329564137,0.03616992397528323,0.560358360473634,0.1423921112849843,0.385206969090503
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,14,5,10,0.9727857142857143,0.8292681165986988,0.9453832749981163,0.03630783986863502,0.5604655087280669,0.14194452579876501,0.38491776627004937
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,16,5,10,0.9689875,0.8301716481514028,0.9457573120728952,0.03566130732214405,0.5602135422161263,0.14282291397082644,0.38554376985676886
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,18,5,10,0.9657555555555556,0.8291430743069217,0.9457694032865973,0.03554618123745619,0.5590349304410656,0.14243838896240743,0.38673447284553175
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,20,5,10,0.96304,0.8296453869166767,0.9461879787889553,0.035133980265523966,0.5586739314034074,0.14260202246392498,0.38751404738554796
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,22,5,10,0.9606727272727272,0.8300983839399497,0.9463755143968677,0.034713913950745634,0.5589344585183714,0.14240029828913334,0.3874410558784963
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,24,5,10,0.958625,0.8302774780824539,0.9466822147954888,0.03451570767343448,0.5595578792983807,0.14271521692919584,0.387124335497108
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,26,5,10,0.9555692307692307,0.8309251555302354,0.9469272039877706,0.0340875074157048,0.5583513017052315,0.1430572010027248,0.38857590228253913
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,28,5,10,0.9524642857142858,0.8309643158839367,0.9468700481590232,0.033852546740693094,0.5595947934686585,0.142627581962687,0.3872752546903647
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,30,5,10,0.9498866666666667,0.8314822841044672,0.9472806507547845,0.03362210548994196,0.5595537590732712,0.14309668956775,0.3877268916815133
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,32,5,10,0.9487625,0.831043907565399,0.94735012672855,0.03355183018728444,0.5590074639190842,0.14263014431533494,0.38834266280946583
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,34,5,10,0.9456117647058824,0.8311447254191275,0.9474212486833923,0.033357048924068926,0.5587835281848492,0.14265793172100594,0.38863772049854306
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,36,5,10,0.9433333333333334,0.8321204736849475,0.9476616685947203,0.032949899199884135,0.5590323984757425,0.14267918531399412,0.38862927011897785
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_7_1124_154048_AdvLoss.pth,Prototypical,38,5,10,0.9405315789473684,0.8325405018783855,0.9478215674824443,0.03270211882615495,0.5586349816288397,0.14283074147671065,0.38918658585360455
