ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,2,5,10,0.9947,0.8424036567718474,0.9457869928776229,0.04107160704248931,0.5693989168885151,0.14171302282365217,0.37638807598910784
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,3,5,10,0.9932,0.8430467506104083,0.9460448118476583,0.039234978226555646,0.5824283995379425,0.14103335650489082,0.36361641230971586
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,4,5,10,0.9909,0.8424481742900573,0.9465170268220129,0.037658251423437525,0.5806172617993121,0.13876744665531737,0.36589976502270083
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,5,5,10,0.98756,0.8409273023199497,0.9470465934900898,0.03742139631839128,0.5799768048601629,0.13931841138082968,0.3670697886299269
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,6,5,10,0.9865333333333334,0.8389391342373478,0.9468573504065255,0.0371688023208884,0.5779084008087869,0.13897725801871635,0.3689489495977386
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,7,5,10,0.9849428571428571,0.8380929000201802,0.9470394137955326,0.03694611826300834,0.5798626264615435,0.13836342705364357,0.36717678733398906
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,8,5,10,0.981925,0.8404635332159013,0.9482177659699609,0.03592923977291881,0.5816240864043632,0.1386505399395319,0.36659367956559763
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,9,5,10,0.9804888888888889,0.8392308122371502,0.94776457363878,0.035901604793634745,0.5827369303583749,0.13933939445249693,0.36502764328040505
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,10,5,10,0.97882,0.8378245962788938,0.9476167096497541,0.03589916771394026,0.5816554109079962,0.13904525887577543,0.36596129874175787
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_2_1124_025935_AdvLoss.pth,Prototypical,12,5,10,0.97495,0.8396509073829261,0.9482613402248328,0.0346632807698724,0.5815458792356701,0.1387417246483882,0.36671546098916263
