ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,2,5,10,0.9952,0.8437207530053441,0.9451655865889462,0.040294475261929016,0.5626033717523841,0.1469860974753625,0.38256221483656216
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,3,5,10,0.9944666666666667,0.8407511261129227,0.944850393244494,0.039734302863558425,0.5744586377180181,0.14501723710968575,0.37039175552647596
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,4,5,10,0.9921,0.8404010512673595,0.9453103117507355,0.03814307233787727,0.5735314550350175,0.14329078562613484,0.3717788567157181
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,5,5,10,0.98944,0.8385423542312692,0.9458317303232473,0.03808039666915218,0.57380255933051,0.14377496322432795,0.37202917099273725
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,6,5,10,0.9880333333333333,0.8357039517164376,0.9456556126506,0.0381231439856222,0.570323813356114,0.14376985472796308,0.375331799294486
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,7,5,10,0.9862,0.8357480908103403,0.9458474405592313,0.03751697830498277,0.5725606335004959,0.14312433250109083,0.3732868070587354
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,8,5,10,0.983825,0.8375350250002439,0.9469917927300755,0.036744994628606455,0.5750789507768013,0.14332240654023853,0.37191284195327423
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,9,5,10,0.9829555555555556,0.8357923474812438,0.9464829669065986,0.036897389743485706,0.576276968540205,0.14411184297951474,0.37020599836639356
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,10,5,10,0.98092,0.8347280010456197,0.9463663230708727,0.03673688701138835,0.5748433447493226,0.14383476177323412,0.37152297832155
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,12,5,10,0.9777,0.8365131858383308,0.9471249837337012,0.035537625393426246,0.5747742164119267,0.14361650115021812,0.3723507673217745
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,14,5,10,0.9753428571428572,0.8346238045904246,0.9469287413313117,0.03556086593100132,0.5747859599865204,0.14294265225641628,0.3721427813447913
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,16,5,10,0.9722875,0.8351819444013693,0.947275535819533,0.03500951215195584,0.5740166974318317,0.14392624840016643,0.37325883838770135
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,18,5,10,0.9696666666666667,0.8344277375603575,0.947406349983824,0.03485208210733542,0.5732756701311549,0.14348849465381705,0.3741306798526691
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,20,5,10,0.9675,0.8348491714222255,0.9477274719147103,0.034428829680355426,0.5727747632031714,0.1436287355699452,0.37495270871153885
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,22,5,10,0.9652727272727273,0.8346165758193108,0.9478800559940929,0.034250610705504975,0.573415852391137,0.14330358219453934,0.37446420360295585
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,24,5,10,0.9642166666666667,0.8344535877725199,0.9481131315613556,0.03414578592985101,0.5739191618899987,0.14370980387024032,0.3741939696713569
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,26,5,10,0.9612307692307692,0.8352263692067676,0.948377952924554,0.033692176988756824,0.5729097765611911,0.1442130220508429,0.3754681763633628
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,28,5,10,0.9579428571428571,0.8353222433012664,0.9483342342264461,0.03343026829166656,0.5739887396399594,0.14375178538497504,0.3743454945864867
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,30,5,10,0.9549933333333334,0.835498081390767,0.948646369015376,0.03327791870202333,0.5739686516629943,0.14413203362607135,0.37467771735238176
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,32,5,10,0.95473125,0.8354930496736651,0.948772587523152,0.03307893217348619,0.5734406686746295,0.1436617352568318,0.37533191884852246
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,34,5,10,0.9531647058823529,0.8346996555929991,0.9487141038742949,0.033147608359913,0.573144928087999,0.14374008912997233,0.3755691757862959
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,36,5,10,0.9505444444444444,0.8360921973006272,0.9489902166428074,0.032607838223289116,0.5736058721465979,0.1436817545384338,0.3753843444962095
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_1_1124_003412_AdvLoss.pth,Prototypical,38,5,10,0.9486263157894737,0.8358017215043344,0.9490323235152361,0.03256032988742176,0.5731932458481256,0.14385292656007373,0.37583907766711055
