Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet50,Prototypical,20,5,6,0.8591666666666666,0.890987408880053,0.8963333333333333,0.8936523762047192,2689,329,311,bayes,0.7495232144335582
resnet50,Finetune,20,5,6,0.8565,0.8694499668654738,0.8746666666666667,0.8720505151213027,2624,394,376,bayes,0.7495232144335582
resnet50,BD-CSPN,20,5,6,0.8663333333333333,0.8904841402337229,0.889,0.8897414512093411,2667,328,333,bayes,0.7495232144335582
resnet50,TIM,20,5,6,0.8567833333333333,0.877984952567877,0.8946666666666667,0.8862473171537064,2684,373,316,bayes,0.7495232144335582
resnet50,Prototypical,50,5,6,0.7766866666666666,0.9095920617420066,0.825,0.865233350812795,2475,246,525,bayes,0.7495232144335582
resnet50,Finetune,50,5,6,0.7784,0.9068462401795735,0.808,0.8545742993125329,2424,249,576,bayes,0.7495232144335582
resnet50,BD-CSPN,50,5,6,0.7824933333333334,0.9162031887282165,0.8236666666666667,0.8674741091802705,2471,226,529,bayes,0.7495232144335582
resnet50,TIM,50,5,6,0.77692,0.9037687522868643,0.8233333333333334,0.8616780045351474,2470,263,530,bayes,0.7495232144335582
