Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet12,Prototypical,5,1,6,0.9518,0.9540765391014975,0.9556666666666667,0.9548709408825979,2867,138,133,bayes,0.654412936932769
resnet12,Finetune,5,1,6,0.9512,0.9480648362553754,0.9553333333333334,0.9516852067076207,2866,157,134,bayes,0.654412936932769
resnet12,BD-CSPN,5,1,6,0.9718666666666667,0.9772270596115205,0.9726666666666667,0.9749415302372201,2918,68,82,bayes,0.654412936932769
resnet12,TIM,5,1,6,0.9558,0.9588903743315508,0.9563333333333334,0.9576101468624834,2869,123,131,bayes,0.654412936932769
resnet12,Prototypical,5,5,6,0.984,0.9827471798274718,0.9873333333333333,0.9850349185234452,2962,52,38,bayes,0.7048959288362311
resnet12,Finetune,5,5,6,0.9810666666666666,0.9830113257828115,0.9836666666666667,0.9833388870376542,2951,51,49,bayes,0.7048959288362311
resnet12,BD-CSPN,5,5,6,0.9842,0.9859672569328433,0.9836666666666667,0.9848156182212581,2951,42,49,bayes,0.7048959288362311
resnet12,TIM,5,5,6,0.9790666666666666,0.9754885723749586,0.9816666666666667,0.9785678684166805,2945,74,55,bayes,0.7048959288362311
